file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00574_0037_149820_to_150895,དེ་ཡིན་ན་ ,de yin na _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00574_0037_149820_to_150895.wav,STT_AB,2,10,1.075,wav16k/STT_AB00574_0037_149820_to_150895.wav,ཨདེ་ཡིན་ན་
STT_AB00574_0038_151322_to_151851,ཁྱོད་ཀྱི་ ,khyod kyi _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00574_0038_151322_to_151851.wav,STT_AB,2,10,0.529,wav16k/STT_AB00574_0038_151322_to_151851.wav,ཁྱོད་ཀྱིས་
STT_AB00574_0042_175025_to_176049,ཨ་ཁུ་སྟོན་པས།  ,a khu ston pas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00574_0042_175025_to_176049.wav,STT_AB,2,15,1.024,wav16k/STT_AB00574_0042_175025_to_176049.wav,ཨ་ཁུ་སྟོན་པས་
STT_AB00574_0043_176629_to_177448,ཨ་ཡ་ཡ།  ,a ya ya/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00574_0043_176629_to_177448.wav,STT_AB,2,8,0.819,wav16k/STT_AB00574_0043_176629_to_177448.wav,ཨ་ཡ་ཡ།
STT_AB00574_0052_218762_to_219479,ད་འགྲིག་སོང་ ,da 'grig song _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00574_0052_218762_to_219479.wav,STT_AB,2,13,0.717,wav16k/STT_AB00574_0052_218762_to_219479.wav,ད་འགྲིག་སོང་།
STT_AB00574_0055_243080_to_248250,དཔོན་ཕྲུག་ནོར་བུས་ཨ་ཁུ་སྟོན་པས་སོ་སོར་ཡ་རྫུན་མ་ཤད་པ་གཞི་ཧ་གོ་ནས།  ,dpon phrug nor bus a khu ston pas so sor ya rdzun ma shad pa gzhi ha go nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00574_0055_243080_to_248250.wav,STT_AB,2,66,5.17,wav16k/STT_AB00574_0055_243080_to_248250.wav,ྷ་མ་དེས་དཔོན་ཕྲུག་ནོར་བུས་ཨ་ཁུ་སྟོན་པས་སོ་སོར་ཡ་རྫུན་མ་བཤད་པ་གཞི་ནས་ཧ་གོ་ནས།
STT_AB00614_0090_569411_to_574923,ས་མིན་ནས་རྣམ་ཤེས་མ་ཡིན་པའི་བར་གྱི་སེམས་ཅན་གྱི་ཁམས་དྲུག་གི་ཆ་ཤས་དང་།  ,sa min nas rnam shes ma yin pa'i bar gyi sems can gyi khams drug gi cha shas dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00614_0090_569411_to_574923.wav,STT_AB,2,69,5.512,wav16k/STT_AB00614_0090_569411_to_574923.wav,ས་མིན་ནས་རྣམ་ཤེས་མ་ཡིན་པའི་བར་གྱི་སེམས་ཅན་གྱི་ཁམས་དྲུག་གི་ཆ་ཤས་དང་།
STT_AB00614_0091_575315_to_580059,ཀུན་མིན་གྱིས་ཁམས་ཀྱི་ཚོགས་པ་གང་ཡང་གང་ཟག་ཏུ་འཇོག་པ་བཀག་གོ།  ,kun min gyis khams kyi tshogs pa gang yang gang zag tu 'jog pa bkag go/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00614_0091_575315_to_580059.wav,STT_AB,2,59,4.744,wav16k/STT_AB00614_0091_575315_to_580059.wav,ཀུན་མིན་གྱིས་ཁམས་ཀྱི་ཚོགས་པ་གང་ཡང་གང་ཟག་ཏུ་འཇོག་པ་བཀག་གོ།
STT_AB00574_0049_196390_to_204530,རྟ་ལ་ཞོན་དུས་ཡང་ཁབ་ཀྱི་རྔོག་མའི་ནང་བཙུགས་པས་རྟས་ཡང་བསྐྱར་ཨ་ཁུ་སྟོན་པ་ཞོན་བཅུག་ཡོད་མ་རེད། ཨ་ཁུ་སྟོན་པས། ཨ་ཡ་ཡ་ ,rta la zhon dus yang khab kyi rngog ma'i nang btsugs pas rtas yang bskyar a khu ston pa zhon bcug yod ma red/_a khu ston pas/_a ya ya _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00574_0049_196390_to_204530.wav,STT_AB,2,110,8.14,wav16k/STT_AB00574_0049_196390_to_204530.wav,རྟ་ལ་བཞོན་དུས་ཡང་ཁབ་ཀྱི་སྔོག་མའི་ནང་བཙུགས་པའི་རྟས་ཡང་བསྐྱར་ཨ་ཁུ་སྟོན་པ་བཞོན་བཅུག་ཡོད་མ་རེད། ཨ་ཁུ་སྟོན་པས། ཨ་ཡ་ཡ།
STT_AB00574_0051_215383_to_217226,ཨ་ཁུ་སྟོན་པས། རྟ་ལ་གཞོན་པའི་ཐོག་ནས་ ,a khu ston pas/_rta la gzhon pa'i thog nas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00574_0051_215383_to_217226.wav,STT_AB,2,36,1.843,wav16k/STT_AB00574_0051_215383_to_217226.wav,ཨ་ཁུ་སྟོན་པས་རྟ་ལ་བཞོན་པའི་ཐོག་ནས་
